Symbol,Name,Market Cap,Sector
CAPITALSFB.NS,Capital Small Finance Bank Limited,12044725248.0,Financial Services
CAPLIPOINT.NS,Caplin Point Laboratories Limited,140933283840.0,Healthcare
CAPTRUST.NS,Capital Trust Limited,1373044864.0,Financial Services
CARBORUNIV.NS,Carborundum Universal Limited,183034593280.0,Industrials
CARERATING.NS,CARE Ratings Limited,37304377344.0,Financial Services
CARRARO.NS,,22527406080.0,Consumer Cyclical
CARTRADE.NS,CarTrade Tech Limited,72807391232.0,Consumer Cyclical
CARYSIL.NS,Carysil Limited,17157303296.0,Consumer Cyclical
CASTROLIND.NS,Castrol India Limited,196904517632.0,Energy
CCCL.NS,Consolidated Construction Consortium Limited,5808631296.0,Industrials
CCHHL.NS,Country Club Hospitality & Holidays Limited,2435628288.0,Consumer Cyclical
CCL.NS,CCL Products (India) Limited,96147136512.0,Consumer Defensive
CDSL.NS,Central Depository Services (India) Limited,253182607360.0,Financial Services
CEATLTD.NS,CEAT Limited,149058617344.0,Consumer Cyclical
CEIGALL.NS,,43076067328.0,Industrials
CELEBRITY.NS,Celebrity Fashions Limited,670785216.0,Consumer Cyclical
CELLO.NS,Cello World Limited,117056888832.0,Consumer Cyclical
CENTENKA.NS,Century Enka Limited,9397896192.0,Consumer Cyclical
CENTEXT.NS,Century Extrusions Limited,1380800000.0,Basic Materials
CENTRALBK.NS,Central Bank of India,307385532416.0,Financial Services
CENTRUM.NS,Centrum Capital Limited,9469053952.0,Financial Services
CENTUM.NS,Centum Electronics Limited,23682066432.0,Technology
CENTURYPLY.NS,Century Plyboards (India) Limited,150077849600.0,Basic Materials
CERA.NS,Cera Sanitaryware Limited,71676936192.0,Industrials
CEREBRAINT.NS,Cerebra Integrated Technologies Limited,564705280.0,Technology
CESC.NS,CESC Limited,210063081472.0,Utilities
CEWATER.NS,,10084222976.0,Utilities
CGCL.NS,Capri Global Capital Limited,132620877824.0,Financial Services
CGPOWER.NS,CG Power and Industrial Solutions Limited,912048455680.0,Industrials
CHALET.NS,Chalet Hotels Limited,170913808384.0,Consumer Cyclical
